"",CustomerID,mean_prob
3093,1219-NNDDO,83.913866
4195,0581-BXBUB,83.885352
4941,9741-YLNTD,83.865604
2749,3916-NRPAP,83.821243
3794,8325-QRPZR,83.817796
2829,6198-ZFIOJ,83.796066
4368,9617-INGJY,83.778926
3365,8309-IEYJD,83.778926
5954,6646-JPPHA,83.762199
5675,5928-QLDHB,83.735540
5538,7852-LECYP,83.725864
5599,7354-OIJLX,83.710064
6167,2077-MPJQO,83.675399
4641,8617-ENBDS,83.652848
2432,3966-HRMZA,83.627673
6380,3317-VLGQT,83.554382
3222,3030-YDNRM,83.434107
4185,7901-HXJVA,83.425971
2758,7126-RBHSD,83.374788
2367,2800-VEQXM,83.365422
5206,9518-XXBXE,83.325651
2763,6077-BDPXA,83.320583
6957,9398-MMQTO,83.301523
6109,9633-XQABV,83.282210
5028,7044-YAACC,83.279300
4012,1658-TJVOA,83.246670
2253,6705-LXORM,83.201655
6749,3411-WLRSQ,83.199616
6408,0644-OQMDK,83.071433
3510,3496-LFSZU,83.049155
6631,9494-MRNYX,83.016049
6551,8778-LMWTJ,83.006106
3691,7994-UYIVZ,83.004092
6586,5119-NZPTV,82.985875
4464,3199-XGZCY,82.985603
2596,5879-SESNB,82.946863
6691,6339-YPSAH,82.844784
3412,7206-PQBBZ,82.831601
2286,2501-XWWTZ,82.831601
5638,8541-QVFKM,82.816266
3445,1391-UBDAR,82.805882
6315,2959-FENLU,82.805442
3046,7321-VGNKU,82.802772
6510,5442-BHQNG,82.802772
4576,4633-MKHYU,82.783749
5057,7394-LWLYN,82.771610
4404,4450-DLLMH,82.667863
5301,9717-QEBGU,82.597107
3563,7245-NIIWQ,82.566164
6740,1226-IENZN,82.556557
2579,8584-KMVXD,82.548633
3912,9506-UXUSK,82.543489
4980,8107-KNCIM,82.519179
5644,6034-YMTOB,82.475909
5400,6175-IRFIT,82.323916
4158,6860-YRJZP,82.229615
6404,4343-EJVQB,82.206911
1993,4482-EWFMI,82.182497
4620,2897-DOVND,82.181362
4344,4536-PLEQY,82.177431
2303,8270-RKSAP,82.173894
4453,9799-CAYJJ,82.133391
4046,3987-KQDDU,82.121722
5126,0848-ZGQIJ,82.113624
6171,2905-KFQUV,82.102605
4146,3853-LYGAM,82.088600
2885,3717-OEAUQ,82.024438
5861,6833-JMZYP,81.941159
4562,1016-DJTSV,81.850532
2557,4301-VVZKA,81.746478
6514,8873-GLDMH,81.676953
3269,8563-OYMQY,81.660367
6044,4983-CCWMC,81.614372
2036,6496-JDSSB,81.511432
5650,0620-DLSLK,81.395827
3137,2081-VEYEH,81.336985
2337,4059-IIEBK,81.318276
4986,4029-HPFVY,81.254728
1919,7410-OIEDU,81.126068
2547,7508-SMHXL,81.045057
3021,3223-DWFIO,81.029046
2766,4291-SHSBH,80.922642
3516,3420-ZDBMA,80.597861
2968,6416-YJTTB,80.542831
5994,9432-VOFYX,80.429185
6619,9529-OFXHY,80.304941
2375,5760-IFJOZ,80.092805
2103,2799-ARNLO,80.069462
3997,2187-PKZAY,80.056832
5546,2694-CIUMO,80.029871
6273,5271-DBYSJ,79.972733
5368,3088-LHEFH,79.958734
5056,5599-HVLTW,79.700486
4132,5652-MSDEY,79.552452
3097,5405-ZMYXQ,79.485114
4874,5606-AMZBO,79.422763
3068,5035-BVCXS,79.349030
3369,6557-BZXLQ,79.308496
3343,7020-OZKXZ,79.285283
4518,9552-TGUZV,79.273400
5284,4480-QQRHC,79.181195
3828,5609-IMCGG,79.128794
2739,1346-UFHAX,79.102944
2021,8544-GOQSH,79.036687
2868,0196-JTUQI,79.029040
5201,9274-UARKJ,78.952953
4661,3453-RTHJQ,78.852527
5630,6591-QGOYB,78.733633
5394,0018-NYROU,78.444371
3589,9121-PHQSR,78.384376
4279,9620-ENEJV,78.303042
4723,7392-YYPYJ,78.286283
5397,0480-BIXDE,78.275271
5909,8990-ZXLSU,78.267787
2114,2739-CACDQ,78.218922
6255,3842-QTGDL,78.109043
5060,0958-YHXGP,77.936278
2015,2604-IJPDU,77.892897
6029,3096-GKWEB,77.819110
5338,5956-YHHRX,77.779232
2182,5605-IYGFG,77.775305
5588,9927-DSWDF,77.538291
4909,3452-GWUIN,77.464286
4398,9919-KNPOO,77.456982
2870,9272-LSVYH,77.252554
5464,1384-RCUXW,77.171788
4952,8224-DWCKX,77.160209
5398,5895-QSXOD,77.154479
2582,5382-SOYZL,77.028245
5146,5453-AXEPF,76.915710
4729,4521-YEEHE,76.895761
6138,7129-CAKJW,76.875219
5208,4860-IJUDE,76.842538
3321,7967-HYCDE,76.827722
1882,4183-MYFRB,76.741125
3754,9796-BPKIW,76.726938
5608,5995-SNNEW,76.677151
6083,1580-BMCMR,76.625804
3502,1302-UHBDD,76.605744
6063,0168-XZKBB,76.594206
1878,5129-JLPIS,76.572602
2728,6242-MBHPK,76.533604
5066,9208-OLGAQ,76.398818
5818,6559-PDZLR,76.329529
4460,2916-BQZLN,76.311420
2854,3733-LSYCE,76.242903
3172,6519-CFDBX,76.227049
6493,2985-FMWYF,76.166473
6406,3427-GGZZI,76.157564
5698,6907-FLBER,76.156234
6766,0674-EYYZV,76.138394
4232,5501-TVMGM,76.119620
4119,1728-BQDMA,76.055265
2160,0224-RLWWD,76.040000
2101,7277-OZCGZ,76.039808
5519,3703-KBKZP,76.022176
3705,9588-OZDMQ,76.018387
2788,6507-ZJSUR,75.919392
3556,4706-DGAHW,75.892218
5483,8875-AKBYH,75.872092
5324,9360-OMDZZ,75.830814
6048,3841-CONLJ,75.829413
5431,0921-OHLVP,75.825731
2229,4612-SSVHJ,75.800365
6392,2322-VCZHZ,75.795429
5443,9058-MJLZC,75.790667
3450,5628-FCGYG,75.762466
2342,3003-CMDUU,75.731532
6925,0682-USIXD,75.728085
2559,4824-GUCBY,75.719543
2211,8313-NDOIA,75.678985
3226,8356-WUAOJ,75.582786
3635,9822-OAOVB,75.550409
2321,5839-SUYVZ,75.481655
3614,4373-VVHQL,75.459710
6030,2371-JQHZZ,75.458294
6674,1104-TNLZA,75.436695
2031,2504-DSHIH,75.385210
5583,3955-JBZZM,75.385133
2108,8705-WZCYL,75.376633
6775,3798-EPWRR,75.365721
6871,7562-UXTPG,75.314375
1869,7590-VHVEG,75.174961
2670,4546-FOKWR,75.144592
6824,5666-CYCYZ,75.110086
5121,1307-ATKGB,75.110086
2343,5016-IBERQ,75.095410
2657,7030-NJVDP,75.087244
2563,5146-CBVOE,74.990745
5871,4998-IKFSE,74.988692
3981,2740-TVLFN,74.986258
4863,0374-AACSZ,74.986258
5295,7402-EYFXX,74.965503
2948,1866-OBPNR,74.855627
5697,1028-FFNJK,74.839464
2028,4195-NZGTA,74.793352
4772,8720-RQSBJ,74.751914
3866,1942-OQFRW,74.751914
3452,0248-IPDFW,74.744439
3072,1478-VPOAD,74.731799
5784,6078-VESFR,74.693276
4203,2603-HVKCG,74.629143
2897,3569-EDBPQ,74.619286
4525,6185-TASNN,74.581662
7022,1471-GIQKQ,74.556771
2381,1536-HBSWP,74.551989
6065,4537-DKTAL,74.544996
6028,7312-XSBAT,74.537629
4173,6692-YQHXC,74.528159
2621,4065-JJAVA,74.513655
2287,3716-UVSPD,74.494439
6184,9584-EXCDZ,74.454720
3620,2712-SYWAY,74.435666
6149,0374-IOEGQ,74.312660
6225,9355-NPPFS,74.235815
5162,0365-GXEZS,74.234768
4920,7278-CKDNC,74.160577
6688,8709-KRDVL,74.137160
6025,9752-ZNQUT,74.121129
3942,6645-MXQJT,74.111731
5163,0082-OQIQY,74.096825
3225,8286-AFUYI,74.058076
2395,1766-GKNMI,74.051658
6609,2809-ZMYOQ,74.030579
6125,1818-ESQMW,74.000153
4069,2960-NKRSO,73.994165
2553,6103-BOCOU,73.958757
6888,5022-KVDQT,73.878197
4278,7365-BVCJH,73.870570
3853,5213-TWWJU,73.856587
2940,5899-OUVKV,73.702864
2074,4716-HHKQH,73.593849
5524,5117-IFGPS,73.578910
5406,5216-WASFJ,73.551172
3991,5226-NOZFC,73.504741
4129,1666-JXLKU,73.503602
5463,0899-LIIBW,73.500243
5373,6116-RFVHN,73.467065
2300,6030-REHUX,73.412472
4557,2107-FBPTK,73.405924
5173,0988-JRWWP,73.356725
4443,4465-VDKIQ,73.342805
6060,3312-ZWLGF,73.340647
7010,2523-EWWZL,73.335728
5200,3956-MGXOG,73.286413
3863,9508-ILZDG,73.281605
2090,6851-WEFYX,73.244052
4288,2874-YXVVA,73.211320
3802,1550-EENBN,73.160812
3069,6267-DCFFZ,73.134463
5938,5044-LRQAQ,73.079901
5234,2697-NQBPF,73.063311
6771,3588-WSTTJ,73.046201
3330,5692-ICXLW,72.969781
6259,4673-KKSLS,72.923456
5086,2675-OTVVJ,72.861241
5245,5650-YLIBA,72.854713
4812,0420-HLGXF,72.652077
2892,9885-AIBVB,72.614762
5749,8486-AYEQH,72.553382
6038,0147-ESWWR,72.511887
4508,1730-ZMAME,72.485785
3071,2439-LYPMQ,72.484176
3429,8819-IMISP,72.464241
3779,7145-FEJWU,72.447053
5447,8993-IZEUX,72.439715
3386,5153-RTHKF,72.384524
6135,7048-GXDAY,72.363634
2175,5233-AOZUF,72.355314
4018,0674-DGMAQ,72.260567
4630,9822-WMWVG,72.149844
2908,5302-BDJNT,72.128865
2205,5168-MSWXT,72.115727
5928,6693-FRIRW,72.051677
6397,5222-IMUKT,72.022436
5029,8189-XRIKE,72.013667
6191,2122-YWVYA,71.990082
3882,4236-UJPWO,71.926472
2071,3197-ARFOY,71.921305
4666,2800-QQUSO,71.913796
3414,7422-WNBTY,71.898442
5661,1078-TDCRN,71.836037
2008,8167-GJLRN,71.796206
5696,2080-CAZNM,71.753309
4166,0396-YCHWO,71.739990
5379,8849-AYPTR,71.713145
6770,2832-KJCRD,71.697981
6857,9572-WUKSB,71.627604
4249,5960-MVTUK,71.610453
2304,6522-YRBXD,71.558932
5751,2495-KZNFB,71.536281
6895,9129-UXERG,71.533819
3453,7978-DKUQH,71.439913
2394,9450-TRJUU,71.359440
4923,7181-OQCUT,71.338316
7006,0376-OIWME,71.306831
2203,1910-FMXJM,71.223573
6538,7718-RXDGG,71.222516
2192,2181-UAESM,71.193172
6096,4686-UXDML,71.146819
4760,4647-MUZON,71.114113
2933,3211-AAPKX,71.066159
5967,5088-QZLRL,71.035469
6139,8695-ARGXZ,70.978987
4504,2227-JRSJX,70.943581
4312,5144-TVGLP,70.940114
4720,2018-PZKMU,70.875305
3616,7268-IGMFD,70.874315
2666,1751-NCDLI,70.816084
5340,1928-BXYIV,70.796980
7029,2823-LKABH,70.787193
4444,2921-XWDJH,70.776883
4297,7586-ZATGZ,70.773423
1915,5122-CYFXA,70.768135
1911,0434-CSFON,70.750614
5579,8118-TJAFG,70.683428
4628,0508-OOLTO,70.682780
4426,9576-SYUHJ,70.657467
6165,2969-QWUBZ,70.571688
3110,9365-SRSZE,70.551497
5649,4128-ETESU,70.534482
4955,8620-RJPZN,70.525061
3373,8543-MSDMF,70.510243
4535,0491-KAPQG,70.500807
3698,5630-IXDXV,70.491074
3081,9469-WEJBT,70.457408
4081,2207-QPJED,70.423639
3963,6988-CJEYV,70.372649
3731,0447-RXSGD,70.309568
3209,0817-HSUSE,70.221430
5011,9732-EQMWY,70.148018
6126,7401-RUBNK,70.097145
6986,4690-PKDQG,70.079702
4241,0585-EGDDA,70.048187
4471,5019-GQVCR,70.023543
6425,0439-IFYUN,70.021471
5670,5439-WIKXB,69.981392
4244,3481-JHUZH,69.943698
2198,3577-AMVUX,69.895044
4282,6818-DJXAA,69.872198
6644,3644-QXEHN,69.853083
4202,9281-OFDMF,69.838179
2164,0177-PXBAT,69.816848
5489,0114-PEGZZ,69.790064
5516,3898-GUYTS,69.744832
6542,2347-WKKAE,69.693639
3543,0093-EXYQL,69.642071
6841,9003-CPATH,69.640187
5948,9279-CJEOJ,69.634691
5563,9699-UBQFS,69.629175
6248,6888-SBYAI,69.581703
5085,9133-AYJZG,69.554742
2162,3951-NJCVI,69.520731
5903,3002-WQZWT,69.465537
6108,1421-HCERK,69.440851
4053,5649-RXQTV,69.353051
3594,1552-AAGRX,69.347313
5046,7504-UWHNB,69.331419
3377,2038-LLMLM,69.300265
2945,6234-PFPXL,69.291761
2741,5461-QKNTN,69.256610
2977,1769-GRUIK,69.245261
3924,4760-THGOT,69.236058
6946,9108-EJFJP,69.232555
5935,2043-WVTQJ,69.230696
6535,3384-CTMSF,69.225249
3652,3503-TYDAY,69.213230
6154,9112-WSNPU,69.203124
6652,4062-HBMOS,69.193547
4488,6212-ATMLK,69.176463
1900,3714-NTNFO,69.156156
4313,9643-AVVWI,69.143820
5015,8818-DOPVL,69.118916
5225,4329-YPDDQ,69.063302
3888,3518-PZXZQ,69.034676
4130,7855-DIWPO,68.985603
3829,4727-MCYZG,68.975869
6534,3323-CPBWR,68.964298
7020,9053-EJUNL,68.945335
3956,1845-ZLLIG,68.924479
4747,2139-FQHLM,68.907346
5821,4724-WXVWF,68.895722
4605,2103-ZRXFN,68.846242
5912,7794-JASDG,68.846242
2906,2692-BUCFV,68.832956
3306,7442-YGZFK,68.813342
6343,8757-TFHHJ,68.813342
3639,3771-PZOBW,68.794828
5833,2786-GCDPI,68.792311
4640,8885-QSQBX,68.782774
4783,7404-JLKQG,68.778325
1920,2273-QCKXA,68.774053
5485,1394-SUIUH,68.772048
3821,4391-LNRXK,68.738779
2964,8695-WDYEA,68.726391
5932,0623-GDISB,68.697470
5213,2607-FBDFF,68.609467
5786,1941-HOSAM,68.598685
4438,7801-KICAO,68.593855
4670,0650-BWOZN,68.563911
3809,3130-ICDUP,68.529970
3546,9168-INPSZ,68.508114
4111,7924-GJZFI,68.504369
3583,4238-JSSWH,68.488899
5820,4273-MBHYA,68.488097
5640,5371-VYLSX,68.482630
5142,8630-FJLIB,68.423196
2049,9903-LYSAB,68.365394
6903,6127-IYJOZ,68.363326
4131,5133-POWUA,68.357105
4524,7011-CVEUC,68.309757
6137,1169-WCVAK,68.306784
6455,1932-UEDCX,68.285132
4885,0829-XXPLX,68.274395
1955,5712-AHQNN,68.254698
2877,9793-WECQC,68.202904
2691,3312-UUMZW,68.190325
3096,9659-QEQSY,68.090138
3800,6481-ESCNL,68.083898
4277,5482-VXSXJ,67.995192
1904,8012-SOUDQ,67.983980
2817,6260-ONULR,67.975266
4418,8950-MTZNV,67.971828
4463,8710-YGLWG,67.965583
5153,2672-OJQZP,67.946839
6874,5626-MGTUK,67.944620
3986,4146-SVFUD,67.931803
5510,8180-AKMJV,67.925548
3431,5858-EAFCZ,67.913035
5910,2275-RBYQS,67.866241
4581,2587-EKXTS,67.865174
4674,3620-MWJNE,67.860523
4823,9667-TKTVZ,67.848461
2316,9244-ZVAPM,67.845527
3248,3566-HJGPK,67.839299
6363,8654-DHAOW,67.824320
5590,7252-NTGSS,67.819860
4409,0468-YRPXN,67.814446
4826,7754-IXRMC,67.805276
3967,9743-DQKQW,67.803005
2005,6582-OIVSP,67.799041
5110,1482-OXZSY,67.779567
4379,5950-AAAGJ,67.772765
4873,0916-QOFDP,67.767090
2236,6778-YSNIH,67.763495
1892,3413-BMNZE,67.669194
3293,2018-QKYGT,67.664860
4937,4223-WOZCM,67.632386
4769,6629-LADHQ,67.631463
4039,3352-ALMCK,67.600952
3476,6844-DZKRF,67.557358
1901,5948-UJZLF,67.522023
4700,8805-JNRAZ,67.515841
2797,9992-UJOEL,67.482999
5337,5365-LLFYV,67.478840
6214,0082-LDZUE,67.475672
6246,5816-QVHRX,67.467961
5218,6145-NNPNO,67.456881
2612,3234-VKACU,67.413492
5955,7658-UYUQS,67.359670
6842,1754-GKYPY,67.343899
4451,5968-VXZLG,67.308782
4250,6817-WTYHE,67.256077
2199,0771-WLCLA,67.255037
4683,6137-NICCO,67.240598
4694,7714-YXSMB,67.227020
6479,3278-FSIXX,67.211376
2176,5973-EJGDP,67.161102
6254,2049-BAFNW,67.147043
6189,9214-EKVXR,67.079163
3466,1895-QTKDO,67.072893
3199,6650-VJONK,67.060349
3393,7901-TBKJX,67.042952
3246,3961-SXAXY,67.041724
2808,9681-KYGYB,67.029091
2792,7617-EYGLW,66.992498
4098,5857-TYBCJ,66.954041
3459,6635-CPNUN,66.840227
5648,4188-FRABG,66.820978
2449,8728-SKJLR,66.816483
3996,0428-IKYCP,66.711125
6526,9921-QFQUL,66.677078
2158,3597-MVHJT,66.657477
5629,8547-NSBBO,66.640007
2415,6786-OBWQR,66.638660
6689,1427-VERSM,66.633016
4612,8468-EHYJA,66.568691
2629,7460-ITWWP,66.533143
6630,3094-JOJAI,66.514961
3786,4526-ZJJTM,66.477761
3444,1763-WQFUK,66.447912
4653,9631-XEYKE,66.435507
1957,3071-VBYPO,66.397290
3304,9261-WDCAF,66.375583
3929,0581-MDMPW,66.372043
2718,0411-EZJZE,66.336096
2402,7929-DMBCV,66.313545
3283,5356-CSVSQ,66.307547
5361,7813-ZGGAW,66.302634
2481,3196-NVXLZ,66.293647
2828,6729-GDNGC,66.281699
5865,8490-BXHEO,66.277653
6537,6048-QBXKL,66.250731
4855,2675-DHUTR,66.226466
4697,1194-HVAIF,66.149694
1988,9167-APMXZ,66.149345
5169,2665-NPTGL,66.147799
4791,2920-RNCEZ,66.134992
2147,6862-CQUMB,66.130329
3088,8189-HBVRW,66.128878
3316,3737-XBQDD,66.127779
2646,4026-SKKHW,66.108689
6931,3191-CSNMG,66.105958
2618,0929-HYQEW,66.096271
5652,1156-ZFYDO,66.037211
5253,2105-PHWON,65.955334
3465,3995-WFCSM,65.952074
2664,0455-XFASS,65.929481
1931,9919-YLNNG,65.918056
4585,6656-JWRQX,65.838819
4915,2208-UGTGR,65.811290
4744,5999-LCXAO,65.753586
6367,1228-ZLNBX,65.729448
7036,8456-QDAVC,65.686881
2119,7982-VCELR,65.679960
4590,5312-UXESG,65.671826
3595,2637-FKFSY,65.663697
2851,7537-RBWEA,65.605129
4434,4840-ORQXB,65.601420
2536,0730-KOAVE,65.589124
5101,8212-CRQXP,65.561664
2251,2475-MROZF,65.557061
5021,2692-PFYTJ,65.547304
3763,4061-UKJWL,65.512070
3971,0541-FITGH,65.497517
2149,6158-HDPXZ,65.494338
4495,1077-HUUJM,65.489899
2914,8785-CJSHH,65.459737
5885,8660-BUETV,65.345344
4085,2209-XADXF,65.336278
6345,5119-KEPFY,65.311585
2468,5173-WXOQV,65.256724
5207,6578-KRMAW,65.256617
7015,6075-SLNIL,65.255772
4637,1816-FLZDK,65.226818
3903,6351-SCJKT,65.175263
4953,4553-DVPZG,65.163594
5781,5647-FXOTP,65.139748
2573,7567-ECMCM,65.107708
3437,1379-FRVEB,65.084864
6987,9547-ITEFG,65.062043
6905,5916-QEWPT,65.052002
6852,3855-ONCAR,65.038588
7000,6633-SYEUS,64.981431
5575,7326-RIGQZ,64.904826
3576,7928-VJYAB,64.897254
2420,1173-NOEYG,64.884857
2189,4360-PNRQB,64.882982
3227,8058-DMYRU,64.877140
3975,2277-DJJDL,64.820038
4550,2203-GHNWN,64.815619
2931,7055-HNEOJ,64.737689
2139,3583-KRKMD,64.678102
4568,8751-EDEKA,64.654682
3207,2070-XYMFH,64.631116
7021,0666-UXTJO,64.615334
5344,4007-NHVHI,64.575794
2522,3050-GBUSH,64.572302
5654,8016-NCFVO,64.555826
2919,6896-SRVYQ,64.549645
5266,3594-KADLU,64.539768
5297,1230-QAJDW,64.498669
1972,7850-VWJUU,64.444345
3022,6968-GMKPR,64.438690
6902,6897-UUBNU,64.402051
2697,1047-NNCBF,64.384860
3658,0141-YEAYS,64.383890
5873,2455-USLMV,64.379702
6876,8212-DJRCH,64.360529
4452,5201-FRKKS,64.355697
5215,6728-WYQBC,64.282567
2315,0215-BQKGS,64.277878
2447,5175-WLYXL,64.276619
4501,6741-EGCBI,64.249938
3159,1320-REHCS,64.244951
4427,0410-IPFTY,64.235855
6132,7233-DRTRF,64.222262
5238,6377-WHAOX,64.186064
2669,7241-AJHFS,64.183765
2042,4811-JBUVU,64.181648
5064,5325-UWTWJ,64.138911
2408,9944-AEXBM,64.136383
2106,6745-JEFZB,64.107851
4093,8896-BQTTI,64.079320
5050,6288-LBEAR,64.065650
6284,4367-NHWMM,64.051306
6412,2378-HTWFW,64.047999
4602,4993-JCRGJ,64.023920
2197,5886-VLQVU,63.968384
6574,2974-GGUXS,63.968269
4741,9278-VZKCD,63.945280
4392,4176-FXYBO,63.936521
5134,4636-JGAAI,63.906444
2551,3956-CJUST,63.901918
3124,4918-FYJNT,63.875273
6572,3466-RITXD,63.871507
5712,0365-TRTPY,63.773028
5416,3717-LNXKW,63.754692
2953,9777-WJJPR,63.741939
2534,6259-WJQLC,63.732696
3301,7243-LCGGZ,63.715221
4656,8800-JOOCF,63.704748
7019,1685-BQULA,63.685651
2249,8535-SFUTN,63.661205
3843,4191-XOVOM,63.658943
6693,1548-FEHVL,63.652610
5893,2657-VPXTA,63.576286
2484,4220-TINQT,63.494366
2378,4957-TREIR,63.455589
6365,9812-GHVRI,63.438232
3523,1013-QCWAM,63.426934
5589,9500-LTVBP,63.402262
4251,3082-VQXNH,63.393472
6313,1689-YQBYY,63.343426
4066,3043-TYBNO,63.283736
5252,5201-USSQZ,63.277510
6400,0118-JPNOY,63.266382
7027,1035-IPQPU,63.250976
4722,4570-QHXHL,63.247942
7032,2235-DWLJU,63.139537
3582,0869-PAPRP,63.129863
5473,2305-MRGLV,63.125357
2188,8734-DKSTZ,63.100814
4523,9026-LHEVG,63.014455
3922,5533-NHFRF,63.011012
5216,9029-FEGVJ,62.990420
5901,6538-POCHL,62.984894
4657,1469-LBJQJ,62.982300
6733,8404-FYDIB,62.978298
3296,3247-MHJKM,62.897182
1891,7310-EGVHZ,62.897182
1945,6380-ARCEH,62.897182
5925,8048-DSDFQ,62.897182
6676,3439-GVUSX,62.866679
5296,9895-VFOXH,62.866679
2660,2111-DWYHN,62.863185
6810,4989-LIXVT,62.853754
2400,3014-WJKSM,62.822921
5750,5419-JKZNQ,62.820101
3435,8974-OVACP,62.771784
6521,5022-JNQEQ,62.770049
3785,5780-INQIK,62.766543
6162,5055-MGMGF,62.752191
5328,2832-SCUCO,62.746436
